step,type,amount,isFraud,sender_txn_count_before,sender_avg_amount_before,receiver_txn_count_before,receiver_avg_amount_before,sender_amount_vs_avg,receiver_amount_vs_avg,sender_txn_count_recent,receiver_txn_count_recent,sender_amount_recent,receiver_amount_recent,sender_old_balance,receiver_old_balance,sender_balance_to_amount,receiver_balance_to_amount,sender_zero_balance,receiver_zero_balance,ml_fraud_probability,risk_score,risk_level,recommended_action,behavior_score,ml_probability_percent
1,PAYMENT,9839.64,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,170136.0,0.0,17.29087711327081,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,1864.28,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,21249.0,0.0,11.397965791659631,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,TRANSFER,181.0,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,181.0,0.0,1.0,0.0,0,1,0.9866198380542871,66.2,HIGH,STEP-UP AUTHENTICATION / REVIEW,7.0,98.66
1,CASH_OUT,181.0,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,181.0,21182.0,1.0,117.02762430939228,0,0,0.9035009850314547,57.21,MEDIUM,ADDITIONAL VERIFICATION,3.0,90.35
1,PAYMENT,11668.14,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,41554.0,0.0,3.561321791821764,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,7817.71,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,53860.0,0.0,6.889485574307634,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,7107.77,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,183195.0,0.0,25.773906513098115,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,7861.64,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,176087.234375,0.0,22.39828220482429,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,4024.36,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,2671.0,0.0,0.6637080004530514,0.0,0,1,0.00547727971650937,20.33,LOW,ALLOW,20.0,0.55
1,DEBIT,5337.77,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,41720.0,41898.0,7.815998038009091,7.849345297135784,0,0,0.006357217386821309,0.38,LOW,ALLOW,0.0,0.64
1,DEBIT,9644.94,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,4465.0,10845.0,0.4629370220117231,1.1244237410340732,0,0,0.012763353616172346,15.77,LOW,ALLOW,15.0,1.28
1,PAYMENT,3099.97,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,20771.0,0.0,6.700387486427422,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,2560.74,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,5070.0,0.0,1.9798964437369375,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,11633.76,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,10127.0,0.0,0.8704838507945541,0.0,0,1,0.00618350222389134,20.37,LOW,ALLOW,20.0,0.62
1,PAYMENT,4098.78,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,503264.0,0.0,122.7838591920876,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,CASH_OUT,229133.94,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,15325.0,5083.0,0.0668822792782496,0.0221835318480484,0,0,0.043191393889617444,20.59,LOW,ALLOW,18.0,4.32
1,PAYMENT,1563.82,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,450.0,0.0,0.2877569128516667,0.0,0,1,0.00547727971650937,20.33,LOW,ALLOW,20.0,0.55
1,PAYMENT,1157.86,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,21156.0,0.0,18.271639289422698,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,671.64,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,15123.0,0.0,22.516526219653496,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,TRANSFER,215310.3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,705.0,22425.0,0.0032743440988764,0.1041520091025604,0,0,0.012775525431846258,17.77,LOW,ALLOW,17.0,1.28
1,PAYMENT,1373.43,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,13854.0,0.0,10.087153665064488,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,DEBIT,9302.79,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,11299.0,29832.0,1.2145818569004994,3.206779888048119,0,0,0.012812880725769898,0.77,LOW,ALLOW,0.0,1.28
1,DEBIT,1065.41,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,1817.0,10330.0,1.7054466747152417,9.695797550802666,0,0,0.012763452902058606,0.77,LOW,ALLOW,0.0,1.28
1,PAYMENT,3876.41,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,67852.0,0.0,17.503824811725824,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,TRANSFER,311685.88,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,10835.0,6267.0,0.0347625634302484,0.0201067821889586,0,0,0.018915038539367702,18.13,LOW,ALLOW,17.0,1.89
1,PAYMENT,6061.13,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,443.0,0.0,0.0730886828966018,0.0,0,1,0.00618350222389134,20.37,LOW,ALLOW,20.0,0.62
1,PAYMENT,9478.39,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,116494.0,0.0,12.290484388263556,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,8009.09,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,10968.0,0.0,1.3694439960064906,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
1,PAYMENT,8901.99,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,2958.909912109375,0.0,0.3323874587823693,0.0,0,1,0.00618350222389134,20.37,LOW,ALLOW,20.0,0.62
1,PAYMENT,9920.52,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,8.645922160006689e-05,13.01,LOW,ALLOW,13.0,0.01
1,PAYMENT,3448.92,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,8.645922160006689e-05,13.01,LOW,ALLOW,13.0,0.01
1,PAYMENT,4206.84,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,8.645922160006689e-05,13.01,LOW,ALLOW,13.0,0.01
1,PAYMENT,5885.56,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,8.645922160006689e-05,13.01,LOW,ALLOW,13.0,0.01
1,PAYMENT,5307.88,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,8.645922160006689e-05,13.01,LOW,ALLOW,13.0,0.01
1,PAYMENT,5031.22,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,8.645922160006689e-05,13.01,LOW,ALLOW,13.0,0.01
1,PAYMENT,24213.67,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,8.645922160006689e-05,13.01,LOW,ALLOW,13.0,0.01
1,PAYMENT,8603.42,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,253.0,0.0,0.0294069105422512,0.0,0,1,0.00618350222389134,20.37,LOW,ALLOW,20.0,0.62
1,PAYMENT,2791.42,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,300481.0,0.0,107.64449936223374,0.0,0,1,0.0,5.0,LOW,ALLOW,5.0,0.0
